100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
100010007,100310027,1
100310024,100210012,1
100010000,100110013,1
100410022,100010008,1
100010007,100310024,2
100310030,100210012,2
100010000,100410022,2
100410023,100010008,2
100010007,100310030,3
100210012,100010000,3
100110013,100410022,3
100410023,100010007,4
100310027,100210012,4
100010000,100410023,4
100410017,100010008,4
100010007,100210012,5
100010000,100410017,5
100010008,100310027,6
100310024,100010000,6
100110013,100410023,6
